,Latitude,Longtitude,City,Date,Temperature,Humidity,Wind Speed,Clouds,Date (UTC)
429,-28.75266607304797,-44.42589177117253,imbituba,1544313600,19,68,4.32,0,2018-12-09 00:00:00
430,18.146443087505716,-125.52092515345069,guerrero negro,1544316591,20.97,63,3.82,0,2018-12-09 00:49:51
431,65.68337132620002,75.71244804697864,pangody,1544316592,-7.99,88,4.47,88,2018-12-09 00:49:52
432,68.15332671447374,135.42793445726477,batagay,1544316592,-43.36,0,0.87,36,2018-12-09 00:49:52
433,-5.605718027294671,135.2004629050777,nabire,1544316592,22.74,95,0.72,92,2018-12-09 00:49:52
434,-21.940765238902188,164.19198505408326,pouembout,1544316592,26.39,57,5.72,0,2018-12-09 00:49:52
435,25.85868340333616,-105.200736951957,santa maria del oro,1544316593,11.87,40,1.52,0,2018-12-09 00:49:53
436,-18.607048450106348,157.99755796037726,poum,1544316593,-0.61,96,0.52,88,2018-12-09 00:49:53
437,17.77927266074491,-132.03165371922148,lompoc,1544314500,17.09,51,3.6,1,2018-12-09 00:15:00
438,54.47797588300068,109.03639957213636,ust-barguzin,1544316594,-23.21,100,2.12,32,2018-12-09 00:49:54
439,60.35285384241516,-17.583600055883352,vestmannaeyjar,1544316383,1.04,100,3.02,88,2018-12-09 00:46:23
440,46.22147576566522,-73.2478985803654,saint-gabriel,1544313600,-18,91,1.52,1,2018-12-09 00:00:00
441,31.755108288146232,-138.7983129221571,fortuna,1544313600,10.5,93,2.6,0,2018-12-09 00:00:00
442,52.159058761465104,3.930607258340274,monster,1544315100,10.5,81,10.8,75,2018-12-09 00:25:00
443,60.34137929034338,36.00732550113699,vytegra,1544316595,-7.74,85,8.72,8,2018-12-09 00:49:55
444,23.541689500777238,109.27512785873773,laibin,1544316595,3.42,100,5.72,92,2018-12-09 00:49:55
445,-18.13237015345517,-24.597757912476084,maceio,1544313600,26,83,2.1,75,2018-12-09 00:00:00
446,12.707678138343297,125.79093574228989,anito,1544316596,28.12,96,7.97,20,2018-12-09 00:49:56
447,8.390761547761201,101.48952023864103,pak phanang,1544313600,24,100,5.1,90,2018-12-09 00:00:00
448,12.582303932840034,144.71886201448285,airai,1544316597,25.14,90,0.52,32,2018-12-09 00:49:57
449,31.04516392210664,-119.02640212448367,rosarito,1544313600,23,94,1.5,75,2018-12-09 00:00:00
450,-29.469732738955763,-71.09742208877603,la serena,1544313600,17,77,4.1,0,2018-12-09 00:00:00
451,16.0704043595113,-70.13250573313715,bani,1544316597,26.32,86,1.82,0,2018-12-09 00:49:57
452,52.309484932820595,121.85769071252946,genhe,1544316598,-34.86,47,1.62,0,2018-12-09 00:49:58
453,-10.623769459322304,106.19521014761142,banjar,1544316598,24.22,98,1.12,68,2018-12-09 00:49:58
454,21.748663263692805,0.8112603365571829,tessalit,1544316598,9.62,48,1.32,0,2018-12-09 00:49:58
455,0.17285396113845763,29.962593717335807,kilembe,1544316598,18.57,100,0.97,92,2018-12-09 00:49:58
456,64.26462179142868,123.03909671622716,kysyl-syr,1544316599,-32.19,40,1.97,36,2018-12-09 00:49:59
457,63.637335627861205,118.79059343331636,nyurba,1544316597,-29.76,63,1.97,32,2018-12-09 00:49:57
458,50.88372966726067,54.80052888270757,sol-iletsk,1544316599,-9.04,89,3.12,64,2018-12-09 00:49:59
459,7.356727472085154,-11.296291281020075,zimmi,1544316599,24.52,88,1.52,0,2018-12-09 00:49:59
460,-21.314741796473868,16.64797052663448,okahandja,1544313600,14,50,1,0,2018-12-09 00:00:00
461,19.61594586326929,62.12971533122317,sur,1544316600,23.79,100,2.27,0,2018-12-09 00:50:00
462,-17.560475904542344,151.83126395588545,bowen,1544313600,23,100,8.2,90,2018-12-09 00:00:00
463,52.226483726818685,-81.19318859881506,moose factory,1544313840,-12,85,5.1,90,2018-12-09 00:04:00
464,-2.5390261158323284,9.51613348117283,gamba,1544316601,-21.84,67,0.42,36,2018-12-09 00:50:01
465,-10.063489122624901,141.62588909901012,morehead,1544315700,-1.8,68,3.6,1,2018-12-09 00:35:00
466,39.46519412024725,117.2981816234597,yangcun,1544316601,-3.14,86,1.42,92,2018-12-09 00:50:01
467,-28.636834926853304,-58.69808257290801,san lorenzo,1544316603,29.97,73,5.67,64,2018-12-09 00:50:03
468,21.77423535986749,-48.70793920597825,saint-francois,1544313600,12,76,5.7,75,2018-12-09 00:00:00
469,54.791494322407374,105.56365762645504,zhigalovo,1544316603,-31.54,70,1.02,32,2018-12-09 00:50:03
470,12.176519597332714,-23.155117201180303,praia,1544313600,19.47,64,6.2,0,2018-12-09 00:00:00
471,0.4344037769083684,39.94128716314077,garissa,1544316604,23.07,97,1.32,32,2018-12-09 00:50:04
472,27.418467953267395,107.6439566539051,zunyi,1544316604,-3.14,83,2.42,92,2018-12-09 00:50:04
473,51.98052267305815,-111.23242109172429,hanna,1544316604,-12.89,53,2.42,0,2018-12-09 00:50:04
474,67.60183239002873,19.268934831337077,kiruna,1544314800,-8,92,2.1,80,2018-12-09 00:20:00
475,42.32659855428838,99.58253736560954,jiuquan,1544316605,-30.36,26,0.17,0,2018-12-09 00:50:05
476,42.10899319382719,-121.05121067913296,altamont,1544314500,-10,100,2.1,0,2018-12-09 00:15:00
477,-20.37943310384327,117.15573443035703,roebourne,1544316606,36.04,13,5.07,80,2018-12-09 00:50:06
478,20.398402312353483,87.89688178100943,chandbali,1544316606,21.27,100,1.97,0,2018-12-09 00:50:06
479,-33.74416679336052,124.63181481853195,esperance,1544313600,26,78,1.5,20,2018-12-09 00:00:00
480,-19.521540604518904,-51.41912568106255,paranaiba,1544316607,25.72,54,3.92,0,2018-12-09 00:50:07
481,1.4773861202388332,51.99192380024789,hobyo,1544316607,25.79,83,6.22,92,2018-12-09 00:50:07
482,-3.4513527926699084,6.603343715000619,omboue,1544316576,25.79,100,1.72,80,2018-12-09 00:49:36
483,59.42719805860614,56.19110054742487,pozhva,1544316607,-6.21,89,2.22,92,2018-12-09 00:50:07
484,11.448291941868035,12.513965625762722,damaturu,1544316607,14.87,46,3.17,0,2018-12-09 00:50:07
485,77.37258934542845,-8.05153690128904,husavik,1544316608,-15.84,72,4.02,0,2018-12-09 00:50:08
486,-12.251423592278712,-61.85171401319393,cacoal,1544316608,24.79,92,0.97,64,2018-12-09 00:50:08
487,33.1024157665978,99.04332350231243,xining,1544316608,-16.64,57,1.92,0,2018-12-09 00:50:08
488,52.26890178653616,13.445391362807158,schoneiche,1544314800,7,81,8.2,75,2018-12-09 00:20:00
489,68.19253758288113,17.936569788035797,beisfjord,1544314800,-4,85,7.2,12,2018-12-09 00:20:00
490,40.77882283464521,-120.94655440263261,susanville,1544315700,0,81,1.02,90,2018-12-09 00:35:00
491,5.099864188127867,127.69217234666161,pundaguitan,1544316610,27.97,100,3.52,56,2018-12-09 00:50:10
492,71.48893565777809,9.08050874189405,sorland,1544316610,4.24,100,11.77,12,2018-12-09 00:50:10
493,-27.253203281293402,17.485147137362503,bethanien,1544316609,13.39,48,4.22,0,2018-12-09 00:50:09
494,-32.915534868327676,-65.09843677717691,rio cuarto,1544313600,25,31,4.1,20,2018-12-09 00:00:00
495,22.67994126412718,132.22106709346417,nishihara,1544315400,7.56,45,5.7,75,2018-12-09 00:30:00
496,23.79576349974188,-64.52331511157408,road town,1544313600,26.06,74,3.6,40,2018-12-09 00:00:00
497,49.80003650707113,115.20924021680236,nizhniy tsasuchey,1544316611,-29.89,30,1.42,0,2018-12-09 00:50:11
498,22.753793992452827,-82.57303625336202,alquizar,1544313300,25,88,1.5,75,2018-12-08 23:55:00
499,38.045089126298905,26.553049635085102,neon karlovasion,1544314800,2,100,1.5,0,2018-12-09 00:20:00
500,52.41454874857678,-89.82152776228466,sioux lookout,1544313600,-8.59,78,4.6,5,2018-12-09 00:00:00
501,35.22264253472616,136.99447104266181,kasugai,1544315400,7,70,6.7,75,2018-12-09 00:30:00
502,2.5260509970619154,133.09103516600806,manokwari,1544316612,26.79,100,1.67,44,2018-12-09 00:50:12
503,61.91642017862202,-147.6521809447399,palmer,1544315400,23,60,3.1,0,2018-12-09 00:30:00
504,40.906572322844596,97.90637582771592,yumen,1544316613,-23.36,44,3.12,8,2018-12-09 00:50:13
505,10.935146079411382,-9.12170294499802,siguiri,1544316614,17.97,61,1.97,0,2018-12-09 00:50:14
506,-26.10111962444484,22.25461193344063,tsabong,1544316614,20.07,20,5.47,0,2018-12-09 00:50:14
507,60.82468457649986,-6.682880337560249,vagur,1544316614,6.74,100,12.32,64,2018-12-09 00:50:14
